zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Vetluzhskiy,Macropus parryi,"Wallaby, whip-tailed",Maryjane,Female,2021-03-04,54,true
Haugesund,Mungos mungo,Banded mongoose,Claudelle,Agender,1986-06-03,84,false
Padhahegha,Macropus robustus,"Wallaby, euro",Malynda,Female,1988-11-10,74,true
Tall Salḩab,Buteo galapagoensis,Galapagos hawk,Andie,Female,1977-11-02,21,true
Cajati,Diceros bicornis,"Rhinoceros, black",Hobard,Agender,1972-11-29,37,true
Atok,Panthera leo persica,Asian lion,Filip,Male,1990-11-17,43,false
Paitan Norte,Ardea golieth,"Heron, goliath",Dominga,Genderqueer,1970-12-27,22,true
Shireet,Petaurus breviceps,Sugar glider,Eli,Male,1989-11-21,96,true
Castanheira,Gazella granti,Grant's gazelle,Cosme,Male,2007-06-04,44,true
Jiaodai,Morelia spilotes variegata,"Snake, carpet",Reggis,Male,1992-01-02,88,true
Gostivar,Neotoma sp.,Woodrat (unidentified),Anthiathia,Female,2003-05-27,69,false
Apeldoorn,Meleagris gallopavo,"Turkey, common",Tim,Male,1977-10-27,83,false
Duancun,Podargus strigoides,"Frogmouth, tawny",Carling,Male,1989-01-23,56,false
Kashmor,Funambulus pennati,"Squirrel, palm",Culley,Male,1991-05-23,3,false
Wan’an,Ceratotherium simum,"Rhinoceros, square-lipped",Reginauld,Male,1982-06-09,71,true
Aianí,Tyto novaehollandiae,"Owl, australian masked",Kikelia,Female,1982-03-06,76,false
Široki Brijeg,Nasua nasua,"Coatimundi, ring-tailed",Therese,Female,1997-09-07,12,true
Atyrá,Ovis ammon,Red sheep,Polly,Female,1999-04-28,3,true
Ilopango,Lamprotornis chalybaeus,Greater blue-eared starling,Ali,Bigender,1984-12-31,7,false
Quintong,Phoenicopterus ruber,Roseat flamingo,Quillan,Male,1971-08-21,36,false
Kotakan Selatan,Cacatua tenuirostris,Long-billed cockatoo,Tansy,Female,1995-10-05,33,true
Dianzi,Cebus nigrivittatus,"Capuchin, weeper",Donielle,Female,2015-11-09,26,false
Tsiatsan,Climacteris melanura,Black-tailed tree creeper,Raf,Female,1974-02-06,88,true
Kolpashevo,Cervus duvauceli,Swamp deer,Jillian,Female,1990-11-02,8,false
Chartres,Felis concolor,"Puma, south american",Miquela,Female,1995-06-26,29,true
Sukorejo,Ourebia ourebi,Oribi,Nancee,Female,2002-05-29,13,true
Lomba,Canis mesomelas,Black-backed jackal,Mella,Female,1978-09-12,48,true
Pampa del Infierno,Laniarius ferrugineus,Southern boubou,Stavro,Male,1971-04-10,16,true
Sidaurip,Trichoglossus haematodus moluccanus,Rainbow lory,Virginie,Female,1986-10-16,76,false
San Carlos,Centrocercus urophasianus,"Hen, sage",Lorelle,Female,1977-02-20,35,false
San Rafael Oriente,Acrobates pygmaeus,Pygmy possum,Emile,Male,1989-03-20,72,true
Junín,Psophia viridis,Green-winged trumpeter,Donia,Female,1978-03-01,73,false
Aravissós,Heloderma horridum,Gila monster,Jasun,Agender,1974-12-30,61,false
Dinghuo,Papio cynocephalus,"Baboon, olive",Micheal,Male,1977-01-02,19,false
Huping,unavailable,Mudskipper (unidentified),Wyn,Male,1978-09-07,87,false
Long Layu,Halcyon smyrnesis,White-throated kingfisher,Erhart,Male,1978-12-31,16,false
Куклиш,Aonyx cinerea,"Otter, oriental short-clawed",Mason,Male,1972-01-12,44,false
Mashi,Ninox superciliaris,Madagascar hawk owl,Ana,Female,1985-01-13,68,true
Kombolcha,Eudromia elegans,"Tinamou, elegant crested",Tome,Male,1974-12-16,34,true
Majiang,Tringa glareola,Spotted wood sandpiper,Grissel,Female,2003-10-22,79,false
Zhengyangshan,Neotis denhami,"Bustard, stanley",Kim,Male,2008-04-01,15,false
Peruc,Chlamydosaurus kingii,Frilled dragon,Herbert,Male,2024-04-01,21,false
Hinigaran,Gabianus pacificus,Pacific gull,Demetre,Male,1979-06-13,3,true
Raci Kulon,Turtur chalcospilos,"Dove, emerald-spotted wood",Shirl,Female,1976-09-13,17,true
Bagacay,Pseudalopex gymnocercus,Pampa gray fox,Melisenda,Female,2020-10-01,50,false
Cabuyaro,Felis silvestris lybica,"Cat, african wild",Bliss,Female,2016-07-17,96,false
Maco,Macropus giganteus,"Kangaroo, eastern grey",Quinton,Male,2003-06-01,86,false
Sedandang,Lasiodora parahybana,Salmon pink bird eater tarantula,Edvard,Male,1988-12-28,1,true
Cabugao,Lophoaetus occipitalis,Long-crested hawk eagle,Morrie,Male,1997-08-21,47,false
Nanterre,Spizaetus coronatus,Crowned hawk-eagle,Dennet,Male,1985-06-27,57,true
Wenshang,Streptopelia senegalensis,"Dove, little brown",Aubrey,Male,2016-04-11,96,true
Rixi,Columba livia,Rock dove,Aylmar,Male,2019-01-27,52,true
Al Khawkhah,Dasyurus maculatus,"Cat, tiger",Alfred,Male,1980-07-30,60,true
Binkolo,Ephippiorhynchus mycteria,Jabiru stork,Ruperto,Male,1981-08-05,86,false
Umeå,Halcyon smyrnesis,White-throated kingfisher,Chip,Male,1992-08-06,2,false
Gushan,Suricata suricatta,Meerkat,Gavin,Bigender,1995-03-03,31,true
Merik,Epicrates cenchria maurus,"Boa, columbian rainbow",Kristine,Female,1979-07-31,58,false
Nangewer,Cynictis penicillata,Yellow mongoose,Hayyim,Male,2001-05-03,3,false
Chigoré,Isoodon obesulus,Southern brown bandicoot,Townie,Male,2020-11-19,37,true
Kalidung,Limosa haemastica,Hudsonian godwit,Isa,Female,1974-03-08,9,false
Tominian,Lycaon pictus,African wild dog,Sullivan,Male,1996-08-29,96,false
Bom Sucesso,Crocuta crocuta,"Hyena, spotted",Dmitri,Male,2021-09-13,22,true
Raffingora,Phoeniconaias minor,Lesser flamingo,Christina,Female,1989-07-14,68,false
Obodivka,Ardea golieth,Giant heron,Herschel,Male,1995-04-17,65,true
Baiyang,Nasua nasua,Ring-tailed coatimundi,Read,Male,1981-11-28,51,true
Itaquyry,Tenrec ecaudatus,Tailless tenrec,Erie,Male,2019-05-18,43,true
Blahodatne,Zosterops pallidus,Pale white-eye,Coreen,Female,2022-02-04,45,false
Maniwaki,Francolinus leucoscepus,Yellow-necked spurfowl,Trever,Male,1995-09-21,71,true
Santa Rosa,Cygnus buccinator,Trumpeter swan,Andrey,Male,2022-06-20,19,true
Napak,Diceros bicornis,"Rhinoceros, black",Inglebert,Male,2002-06-23,1,true
Baih,Galictis vittata,Huron,Rhiamon,Female,2001-10-12,32,false
Zhangjiagang,Herpestes javanicus,"Mongoose, javan gold-spotted",Ailsun,Female,2004-03-08,41,false
Wangcun,Geochelone radiata,"Tortoise, radiated",Arabelle,Female,2023-03-24,95,false
Vologda,Globicephala melas,Long-finned pilot whale,Bettine,Female,1998-11-02,53,true
San Rafael,Gazella thompsonii,"Gazelle, thomson's",Roz,Female,1995-05-14,77,false
Ebene,Tetracerus quadricornis,Four-horned antelope,Pippo,Male,2013-08-17,74,false
Frontignan,Fulica cristata,Red-knobbed coot,Avictor,Male,2014-08-22,99,false
Ålesund,Deroptyus accipitrinus,Hawk-headed parrot,Mellisent,Female,2005-06-09,71,false
Bojongsari,Mazama gouazoubira,"Brocket, brown",Moishe,Male,1982-10-03,3,false
Ust’-Isha,Crotalus adamanteus,"Rattlesnake, eastern diamondback",Ally,Female,1991-01-13,78,false
An Lão,Egretta thula,"Egret, snowy",Husein,Male,2003-08-08,62,true
Cervantes,Paradoxurus hermaphroditus,"Civet, common palm",Gregorio,Male,1999-02-09,50,true
Geita,Ramphastos tucanus,"Toucan, red-billed",Johnny,Male,1977-06-01,72,true
São Bento,Dicrurus adsimilis,"Drongo, fork-tailed",Udall,Male,1986-11-06,25,true
Mbomba,Ciconia episcopus,Woolly-necked stork,Antonetta,Agender,1974-01-08,22,true
‘Alīābād-e Katūl,Merops bullockoides,"Bee-eater, white-fronted",Malissia,Female,2013-08-13,79,true
Hanau,Capreolus capreolus,Roe deer,Trescha,Female,2005-12-10,48,true
Bafatá,Morelia spilotes variegata,"Snake, carpet",Jocelyn,Female,2005-11-11,73,true
Morrito,Phoenicopterus chilensis,"Flamingo, chilean",Bartholomeus,Male,2000-05-22,7,true
Porto Martins,unavailable,Caracara (unidentified),Bettine,Female,1970-06-06,80,false
Ivyanyets,Axis axis,"Deer, spotted",Augusta,Female,1979-12-30,26,true
Tamansari,Fulica cristata,Red-knobbed coot,Sadye,Female,1980-02-07,51,false
Tangjin,Felis concolor,"Lion, mountain",Dorian,Male,2017-08-27,64,false
Malaga,Uraeginthus angolensis,"Bleu, blue-breasted cordon",Lotti,Female,1985-04-25,68,true
Morteros,Odocoilenaus virginianus,"Deer, white-tailed",Currie,Male,2014-03-18,43,false
Helsingborg,Semnopithecus entellus,Common langur,Dalenna,Female,1975-11-25,17,true
Zgornje Bitnje,Larus fuliginosus,"Gull, lava",Noland,Male,1998-11-09,51,false
Xian’an,Felis chaus,"Cat, jungle",Giraldo,Male,1974-12-11,83,true
Hougaoshizhuang,Crocodylus niloticus,Nile crocodile,Averyl,Female,1982-08-01,32,true
Pontian,Varanus komodensis,Komodo dragon,Lonee,Female,1993-04-11,36,true
Tlogocilik,Zenaida asiatica,"Dove, white-winged",Clair,Male,2010-07-20,1,true
Piracicaba,Ammospermophilus nelsoni,"Squirrel, nelson ground",Riley,Male,2009-04-18,95,false
Stockholm,Vicugna vicugna,Vicuna,Jason,Male,2002-01-26,61,false
Parung,Acanthaster planci,Crown of thorns starfish,Veriee,Female,2002-08-11,65,false
Sancha,Myotis lucifugus,"Bat, little brown",Hubert,Male,1989-06-23,5,true
Seraya,Conolophus subcristatus,"Iguana, land",Roddie,Male,2020-08-30,28,false
Batuna Satu,Martes americana,"Marten, american",Welbie,Male,1980-04-26,52,true
Padre Nabeto,Eudromia elegans,"Tinamou, elegant crested",Lyndsie,Female,2013-07-14,6,true
Ra-ngae,Tragelaphus strepsiceros,"Kudu, greater",Buiron,Male,1994-06-08,80,true
Minh Lương,Phaethon aethereus,Red-billed tropic bird,Samara,Female,2007-07-26,99,false
Merrifield,Microcebus murinus,"Lemur, lesser mouse",Luelle,Female,1979-03-29,80,false
Chennevières-sur-Marne,Eutamias minimus,"Chipmunk, least",Tommi,Female,1986-01-22,55,true
Brooklyn,Columba livia,Feral rock pigeon,Brose,Male,1983-11-15,10,true
Rukem,Microcebus murinus,"Lemur, lesser mouse",Stewart,Male,2007-06-07,24,true
Ambato,Chlidonias leucopterus,White-winged black tern,Melba,Female,1997-10-30,37,true
Tsul-Ulaan,Pytilia melba,"Finch, common melba",Galen,Male,2023-10-25,88,false
Sanquan,Theropithecus gelada,Gelada baboon,Rutter,Male,1997-01-30,4,true
Radostowice,Lemur fulvus,"Lemur, brown",Khalil,Male,2021-05-13,7,true
Selebi-Phikwe,Mabuya spilogaster,"Skink, african",Ora,Female,2003-05-05,43,false
New Orleans,Lophoaetus occipitalis,"Eagle, long-crested hawk",Reg,Male,1998-03-03,66,true
Amapala,Tadorna tadorna,European shelduck,Wandie,Female,1990-06-14,35,true
Chikan,unavailable,Savannah deer (unidentified),Mei,Female,1988-10-25,81,false
Recreio,unavailable,Gecko (unidentified),Natka,Female,1975-11-06,47,true
Independence,Boa caninus,"Boa, emerald green tree",Vitoria,Female,1987-05-19,57,false
Sieniawa Żarska,Canis lupus lycaon,"Wolf, timber",Carroll,Male,1985-03-22,13,false
Rovira,Neotis denhami,"Bustard, denham's",Everard,Male,1991-11-19,32,true
Kostopil’,Buteo jamaicensis,Red-tailed hawk,Ashien,Female,1984-04-20,72,true
Canauay,Ovis ammon,"Sheep, red",Clo,Female,1983-08-08,65,true
Xiaopu,Tockus erythrorhyncus,Red-billed hornbill,Sarina,Female,2020-12-13,31,true
Anguera,Acinynox jubatus,Cheetah,Frans,Male,1980-04-30,12,false
Heshan,Bradypus tridactylus,Pale-throated three-toed sloth,Augustina,Female,1990-02-08,81,false
Estacion,Eutamias minimus,Least chipmunk,Lorne,Female,2008-11-26,62,false
Zagoryanskiy,Cordylus giganteus,Sun gazer,Wilburt,Male,2003-11-11,47,true
Smidary,Gabianus pacificus,Pacific gull,Reinaldo,Male,2010-12-28,9,false
Longwan,Larus novaehollandiae,"Gull, silver",Ilyse,Female,1984-11-02,52,true
Sapat,Pseudocheirus peregrinus,"Possum, ring-tailed",Neel,Male,2002-01-20,96,true
Sáchica,Junonia genoveua,Tropical buckeye butterfly,Shaina,Female,1973-11-08,55,true
Huddinge,Streptopelia senegalensis,"Dove, laughing",Silvain,Male,2019-01-24,28,true
Bonoua,Spermophilus armatus,Uinta ground squirrel,Andres,Male,2020-06-08,71,false
Opatów,Pelecanus occidentalis,"Pelican, brown",Christoper,Bigender,2002-10-26,48,false
Sandayong Sur,Lasiorhinus latifrons,"Wombat, southern hairy-nosed",Penny,Bigender,1976-01-27,15,false
La Paz Centro,Sarcorhamphus papa,"Vulture, king",Cortie,Male,1973-07-31,10,true
Jiazhuang,Equus burchelli,"Zebra, common",Pia,Female,2014-09-14,50,true
Tengah,Uraeginthus angolensis,Blue waxbill,Quintina,Female,2008-03-02,22,false
Jeremoabo,Sylvicapra grimma,"Duiker, common",Fons,Male,1985-05-13,23,true
Cancela,Ceratotherium simum,"Rhinoceros, white",Woodie,Male,2020-07-03,95,false
Riangbaring,Oryx gazella,Gemsbok,Anita,Female,1971-04-16,38,false
Log,Funambulus pennati,Palm squirrel,Lyn,Female,1991-05-06,96,true
Jiangqiao,Ephippiorhynchus mycteria,"Stork, jabiru",Adelaida,Agender,1981-03-02,44,false
Queluz de Baixo,Felis yagouaroundi,Jaguarundi,Bree,Female,2005-10-30,3,true
Lourdes,Ardea cinerea,Gray heron,Harlen,Male,2013-01-13,5,false
Deqing,Ateles paniscus,Black spider monkey,Meghan,Female,2007-10-08,33,false
Fangjun,Francolinus coqui,Coqui partridge,Field,Male,1984-12-30,11,true
Ancol,Meleagris gallopavo,"Turkey, common",Ana,Female,1988-06-29,53,true
Santa Cruz,Ciconia ciconia,White stork,Paulo,Male,2023-02-15,47,true
Orsha,Bucephala clangula,Common goldeneye,Marrissa,Genderfluid,2010-08-26,67,false
Kegeyli Shahar,Anser anser,"Goose, greylag",Haroun,Male,1988-12-16,40,true
Bonao,Vombatus ursinus,"Wombat, common",Lewiss,Male,1974-09-19,93,false
Sar Chakān,Gymnorhina tibicen,"Magpie, black-backed",Sallie,Female,2002-03-24,64,false
Las Animas,Eunectes sp.,Anaconda (unidentified),Diane-marie,Female,2022-07-14,22,false
Aix-en-Provence,unavailable,Paddy heron (unidentified),June,Female,2020-12-19,19,true
Watangan,Uraeginthus granatina,"Waxbill, violet-eared",Lilllie,Female,1984-01-20,42,true
Kristiansand S,Papilio canadensis,"Butterfly, canadian tiger swallowtail",Henry,Male,2013-10-26,35,true
Shouyan,Buteo jamaicensis,"Hawk, red-tailed",Andros,Polygender,2015-01-15,85,false
Augusta,Erinaceus frontalis,South African hedgehog,Almeta,Female,1991-06-22,2,true
Szombathely,Varanus salvator,Water legaan,Milty,Male,1988-12-25,43,false
Xinxu,Vulpes chama,"Fox, silver-backed",Ade,Male,1974-06-11,38,true
Krasni Okny,Morelia spilotes variegata,"Snake, carpet",Rochella,Female,1978-06-28,91,true
Liebu,Macropus agilis,Jungle kangaroo,Ben,Male,1986-09-23,41,true
Paghmān,Spermophilus parryii,"Squirrel, arctic ground",Arleta,Non-binary,2000-03-27,64,false
Vannes,Haliaeetus leucoryphus,Pallas's fish eagle,Pippy,Female,2021-01-17,93,false
Libon,Oncorhynchus nerka,Sockeye salmon,Gavin,Male,2000-07-01,76,true
Sandaotong,Passer domesticus,House sparrow,Tedd,Non-binary,2010-06-18,93,true
Verkhniy Mamon,Centrocercus urophasianus,Sage grouse,Linette,Female,1977-10-02,20,false
Chenda,Dusicyon thous,"Fox, savanna",Conny,Male,2018-02-23,28,true
Hacienda La Calera,Equus hemionus,Onager,Cyril,Male,2011-12-20,1,true
Velká nad Veličkou,Canis aureus,Indian jackal,Mindy,Female,1972-04-11,21,true
Ganxi,Naja haje,"Cobra, egyptian",Gaby,Male,1992-01-02,66,false
Ko Si Chang,Choloepus hoffmani,"Sloth, two-toed tree",Ryun,Male,1975-09-06,44,false
Yanahuanca,Colobus guerza,Guerza,Cristi,Female,1980-12-21,93,false
Eindhoven,Thylogale stigmatica,"Pademelon, red-legged",Xerxes,Male,2021-09-21,22,true
Pustá Polom,Manouria emys,Asian foreset tortoise,Merrill,Male,1997-03-11,95,true
Macabugos,Aepyceros mylampus,Impala,Robert,Male,1996-04-16,73,false
Gaoming,Oxybelis sp.,Vine snake (unidentified),Ninette,Polygender,2018-04-21,8,false
Tyumen,Pycnonotus nigricans,"Bulbul, african red-eyed",Dylan,Male,1978-11-24,10,true
Dagua,Bettongia penicillata,Woylie,Lorri,Female,1989-01-13,90,true
Wuqiao,Scolopax minor,"Woodcock, american",Shawn,Male,2018-10-22,6,true
Tegalbuleud,Dendrohyrax brucel,Dassie,Werner,Male,1992-04-13,82,true
Tiyingtali Kelod,Connochaetus taurinus,"Wildebeest, blue",Vivia,Female,1978-06-01,58,true
Neyrīz,Bassariscus astutus,Ringtail cat,Efren,Male,1972-01-24,24,true
Shilong,Dendrohyrax brucel,Dassie,Bertrand,Polygender,1975-03-27,40,false
Jiaoxie,Oryx gazella,Gemsbok,Aura,Female,2006-04-08,54,true
Polloc,Tyto novaehollandiae,"Owl, australian masked",Sib,Female,2000-11-30,86,true
Yoiqag,Stercorarius longicausus,Long-tailed skua,Kaitlyn,Female,2003-11-05,90,true
Xinsheng,Chlamydosaurus kingii,Frilled lizard,Kimmi,Female,2003-09-12,12,true
Sakassou,Trichoglossus chlorolepidotus,"Lorikeet, scaly-breasted",Adey,Female,2008-03-03,28,false
Qingdao,Ciconia ciconia,White stork,Melony,Female,1988-10-26,48,false
Cilimus Kulon,Pelecans onocratalus,"Pelican, great white",Leyla,Female,1984-08-16,96,true
Purong,Erethizon dorsatum,"Porcupine, north american",Gussy,Female,2020-11-08,4,false
Šalovci,Tyto novaehollandiae,Australian masked owl,Ekaterina,Female,1991-12-01,36,true
Ruda-Huta,Martes americana,American marten,Kiel,Agender,1974-07-24,64,true
Kentau,Sceloporus magister,Desert spiny lizard,Adrien,Male,1989-05-20,49,false
Paris La Défense,Mirounga leonina,Southern elephant seal,Neal,Male,2015-05-25,36,false
Taboão da Serra,Papio ursinus,Chacma baboon,Donnamarie,Female,1972-07-06,100,true
Huiwen,Ninox superciliaris,White-browed owl,Skipton,Male,2003-06-07,49,false
Gornji Petrovci,Charadrius tricollaris,"Plover, three-banded",Yard,Male,1973-03-28,15,false
Aramayuan,Lasiorhinus latifrons,"Wombat, southern hairy-nosed",Idell,Female,1976-04-05,10,false
Dihtyari,Cervus duvauceli,"Deer, swamp",Bar,Male,2014-08-31,73,true
Agboville,Agkistrodon piscivorus,Cottonmouth,Michael,Male,2016-09-22,13,true
Caen,Ceratotherium simum,Square-lipped rhinoceros,Issiah,Male,1976-06-24,79,true
Bahāwalpur,Myrmecophaga tridactyla,"Anteater, giant",Evita,Female,1985-01-28,94,false
Rivera,Felis wiedi or Leopardus weidi,Long-tailed spotted cat,Godfree,Male,2009-11-20,48,true
Al Ḩumaydāt,Loxodonta africana,African elephant,Nollie,Male,1980-02-03,90,false
Longhua,Perameles nasuta,Long-nosed bandicoot,Jeromy,Male,2001-06-28,59,true
Ovidiopol’,Felis concolor,South American puma,Yorgos,Male,1996-01-24,22,true
Domont,Melanerpes erythrocephalus,Red-headed woodpecker,Onfre,Male,1972-12-20,20,false
Iranduba,Uraeginthus granatina,Purple grenadier,Shaw,Male,1986-06-14,41,false
Tân Sơn,Damaliscus dorcas,Bontebok,Lind,Male,2011-12-05,1,true
Pailiao,Sterna paradisaea,"Tern, arctic",Emelen,Male,1988-12-29,47,true
Banyumas,Geochelone radiata,"Tortoise, radiated",Calida,Female,2000-04-07,5,true
Angostura,Dolichitus patagonum,Mara,Clemmy,Male,1982-04-28,46,false
Uddevalla,Coluber constrictor,Racer snake,Colet,Male,1975-01-24,14,false
Makin Village,Canis aureus,Golden jackal,Ted,Male,2002-03-26,37,true
Zhongyuan,Meles meles,European badger,Denis,Bigender,2008-05-31,5,true
Sitangkai,Haematopus ater,Black curlew,Filmer,Male,1990-07-19,79,true
Ngrowo,Halcyon smyrnesis,"Kingfisher, white-throated",Issy,Genderfluid,2020-12-27,92,true
Terre Haute,Phalacrocorax albiventer,"Cormorant, king",Bertram,Male,2008-05-23,33,false
Xiadian,Psittacula krameri,Rose-ringed parakeet,Alva,Genderqueer,1983-04-18,52,true
Aanislag,Felis libyca,Cape wild cat,Arri,Bigender,1970-10-18,89,true
Arapiraca,Podargus strigoides,"Frogmouth, tawny",Gilbertina,Female,1992-03-22,48,true
Oulad Frej,Libellula quadrimaculata,"Dragonfly, russian",Susanna,Female,1992-08-12,7,false
La Maná,Ramphastos tucanus,Red-billed toucan,Malorie,Female,2012-11-04,76,true
Chikeng,Spermophilus parryii,"Squirrel, arctic ground",Raleigh,Non-binary,1975-07-13,29,false
Tourcoing,Centrocercus urophasianus,"Grouse, sage",Devland,Male,2012-10-12,10,false
Novikovo,Anser anser,Greylag goose,Stern,Male,1971-04-06,55,true
San Eduardo,Felis silvestris lybica,"Cat, european wild",North,Male,1976-05-29,8,false
Kaavi,Physignathus cocincinus,Asian water dragon,Alma,Female,1991-05-22,20,false
Matlang,Ictalurus furcatus,Blue catfish,Rab,Male,2009-11-27,3,false
Menzel Abderhaman,Phoenicopterus ruber,"Flamingo, roseat",Karl,Male,1981-06-28,15,true
Umeå,Cervus elaphus,Red deer,Morgen,Female,1993-01-27,91,true
La Purisima,Cebus nigrivittatus,Weeper capuchin,Nat,Male,2020-04-29,32,true
Slobodka,Bubalus arnee,Asian water buffalo,Kipper,Male,2003-10-05,40,true
Bayt Liqyā,Columba livia,"Pigeon, feral rock",Barnabas,Male,2016-10-08,46,true
Outeiro Seco,Corvus brachyrhynchos,"Crow, house",Benjamin,Male,2016-04-19,91,false
Albuquerque,Dasyurus maculatus,Tiger cat,Phyllida,Female,2016-09-15,67,true
